Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,DWN,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Fire Island Rustic Bakeshop,61.2153023,-149.9021527,"718 K St, Anchorage, AK 99501, United States",ChIJfwCs6dSXyFYRS-bVg_88uxw,/biz/fire-island-rustic-bakeshop-anchorage?osq=Restaurants,0.212125914519652,4.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Humpy's Great Alaskan Alehouse,61.216342,-149.894083,"610 W 6th Ave, Anchorage, AK 99501, United States",ChIJ14LWxYC9yFYRkKKOyOoSric,/biz/humpys-great-alaskan-alehouse-anchorage?osq=Restaurants,0.192925018758708,3.6,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Palmeira Tropical Fusion,61.2188142,-149.8810413,"323 Barrow St, Anchorage, AK 99501, United States",ChIJR0JbBTqXyFYRnc5f46ijUQI,/biz/palmeira-tropical-fusion-anchorage?osq=Restaurants,0.198701700558982,4.6,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Ginger,61.2176984,-149.8904992,"425 W 5th Ave, Anchorage, AK 99501, United States",ChIJyxXi3CmWyFYR0QSX5WfoVhs,/biz/ginger-anchorage?osq=Restaurants,0.180058386849073,4.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Fletcher's,61.217825,-149.8998115,"939 W 5th Ave, Anchorage, AK 99501, United States",ChIJoUUNNIG9yFYRIwlxJhOXHo8,/biz/fletchers-anchorage?osq=Restaurants,0.158154362467094,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Orso,61.2177182,-149.8962191,"737 W 5th Ave, Anchorage, AK 99501, United States",ChIJ7bXHMYe9yFYR4rlzElC4dYY,/biz/orso-anchorage?osq=Restaurants,0.167706736526504,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Rice Garden Anchorage,61.2183732,-149.8459737,"400 Sitka St, Anchorage, AK 99501, United States",ChIJRfpiZc-XyFYR0QJDIIz28Uc,/biz/rice-garden-anchorage-anchorage-2?osq=Restaurants,0.159454071803167,4.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
AK Alchemist,61.2187725,-149.8828076,"103 E 4th Ave, Anchorage, AK 99501, United States",ChIJt_B88yiWyFYRZQB7I68Jokk,/biz/ak-alchemist-anchorage?osq=Restaurants,0.16482374857803,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Club Paris,61.2176987,-149.890215,"417 W 5th Ave, Anchorage, AK 99501, United States",ChIJocFKwymWyFYRFUAUTcZY81s,/biz/club-paris-anchorage?osq=Restaurants,0.164475509299094,4.1,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Bridge Seafood - Temp. CLOSED,61.2233782,-149.8857296,"221 W Ship Creek Ave, Anchorage, AK 99501, United States",ChIJbVcqGYi9yFYRUTkJd4n7R3E,/biz/bridge-seafood-anchorage?osq=Restaurants,0.16726089608159,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Fresh Bowl Kitchen,61.1954967,-149.8728649,"545 E Northern Lights Blvd # A, Anchorage, AK 99503, United States",ChIJ11eEZHmXyFYRBIjLIs85uy4,/biz/fresh-bowl-kitchen-anchorage?osq=Restaurants,0.139985062339731,4.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Crush Wine Bistro & Cellar,61.2186852,-149.8959538,"328 G St, Anchorage, AK 99501, United States",ChIJLyGVmSmWyFYR6nWkIPTUEco,/biz/crush-wine-bistro-and-cellar-anchorage-2?osq=Restaurants,0.161199554657313,3.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Tequila 61,61.2188133,-149.8909986,"445 W 4th Ave, Anchorage, AK 99501, United States",ChIJD6wGfIe9yFYR9TUkfeir8es,/biz/tequila-61-anchorage-2?osq=Restaurants,0.16386989675487,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Territory,61.1925811,-149.8712487,"600 E Benson Blvd, Anchorage, AK 99503, United States",ChIJWYma6LeXyFYRCaj0xpBqfrU,/biz/territory-anchorage?osq=Restaurants,0.155985237432331,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
International House of Hot Dogs & Goodies,61.2182604,-149.9034791,"415 L St, Anchorage, AK 99501, United States",ChIJ78CedrW9yFYROjlspxgRMD4,/biz/international-house-of-hot-dogs-and-goodies-anchorage?osq=Restaurants,0.157838854482678,4.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Home Town Restaurant,61.1925582,-149.914712,"3020 Minnesota Dr, Anchorage, AK 99503, United States",ChIJVzXvI9mXyFYRWTwHWivC-Bw,/biz/home-town-restaurant-anchorage?osq=Restaurants,0.153602946547707,4.2,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Pho Lena Downtown,61.2176827,-149.884805,"137 W 5th Ave, Anchorage, AK 99501, United States",ChIJQRnV_yiWyFYRFD6rWoQpLBc,/biz/pho-lena-downtown-anchorage-3?osq=Restaurants,0.145479390693222,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Benji's Bakery & Cafe,61.1456041,-149.8664402,"901 E Dimond Blvd C, Anchorage, AK 99515, United States",ChIJYeIhHAOZyFYRpbkyKcPchso,/biz/benjis-bakery-and-cafe-anchorage?osq=Restaurants,0.142624383391891,4.6,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Dami,61.2170999,-149.8715223,"642 E 5th Ave, Anchorage, AK 99501, United States",ChIJQf0lhy-WyFYRyA88wsFFV9w,/biz/dami-anchorage?osq=Restaurants,0.13374935669088,3.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Great Room,61.1609661,-149.8808287,"6591 A St, Anchorage, AK 99518, United States",ChIJB9wRiYaXyFYRDwxtL17AUyc,/biz/great-room-anchorage?osq=Restaurants,0.143680193040596,4.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Saverio's Pizzeria,61.192562,-149.873873,"530 E Benson Blvd, Anchorage, AK 99503, United States",ChIJjXvzAMiXyFYR3o6gJkT3ORE,/biz/saverios-pizzeria-anchorage-2?osq=Restaurants,0.139487411891088,4.6,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Pomodoro Restaurant,61.3364759,-149.5617365,"12801 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJNZta4STryFYR3MZWLgvLot8,/biz/pomodoro-restaurant-eagle-river?osq=Restaurants,0.143452885556441,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Originale,61.2181972,-149.8895873,"400 D St, Anchorage, AK 99501, United States",ChIJ2cmy0SmWyFYRAm5hzjxH4Bo,/biz/originale-anchorage?osq=Restaurants,0.13675083206669,4.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Spinz Pollo A La Brasa,61.2194904,-149.8229577,"3024 Mountain View Dr #108, Anchorage, AK 99501, United States",ChIJtcnxcP2XyFYRbufmn6pI-p4,/biz/spinz-pollo-a-la-brasa-anchorage?osq=Restaurants,0.158773004232116,4.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Yamaya Seafood Restaurant,61.2166985,-149.8986248,"825 W 6th Ave, Anchorage, AK 99501, United States",ChIJVVN224C9yFYRmmjSJ1vPVj4,/biz/yamaya-seafood-restaurant-anchorage?osq=Restaurants,0.123557742549896,3.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Oriental Garden,61.2154329,-149.734088,"720 Muldoon Rd, Anchorage, AK 99504, United States",ChIJFSaWGqKWyFYRh8umWl-ThJ8,/biz/oriental-garden-anchorage?osq=Restaurants,0.139229112540668,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Matanuska Brewing Company,61.1947489,-149.8884943,"2830 C St, Anchorage, AK 99503, United States",ChIJlyYOyNSXyFYRUWf8xf_V2Wg,/biz/matanuska-brewing-company-eagle-river?osq=Restaurants,0.150364778153666,3.1,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Royal Thai,61.1450216,-149.877596,"219 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJo8tardOZyFYRxcEVCLuXau0,/biz/royal-thai-anchorage-2?osq=Restaurants,0.136792057585658,4.6,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Great Harvest Bread - Anchorage,61.1928367,-149.8729194,"570 E Benson Blvd, Anchorage, AK 99503, United States",ChIJ1zH0_beXyFYRJFYa8Do62f8,/biz/great-harvest-bread-anchorage-anchorage?osq=Restaurants,0.149712149035237,4.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Jimmy's Sushi,61.1801927,-149.8934431,"550 W Tudor Rd, Anchorage, AK 99503, United States",ChIJ42dGlZOXyFYRJGMNdDRG5s4,/biz/jimmys-sushi-eagle-river?osq=Restaurants,0.127708319027889,4.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Jeepney by Adobo Grill,61.137909,-149.8624687,"9191 Old Seward Hwy, 2477 Arctic Blvd, Anchorage, AK 99515, United States",ChIJrVZRtDuZyFYRH8uvG0VL7ws,/biz/jeepney-by-adobo-grill-anchorage?osq=Restaurants,0.12019667325642,3.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Siam Cuisine,61.1383083,-149.9157768,"1911 W Dimond Blvd, Anchorage, AK 99515, United States",ChIJLfUm1jeYyFYRtrJKmtzSPcU,/biz/siam-cuisine-anchorage?osq=Restaurants,0.0709300500298823,4.1,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Pete's Barbecue,61.3322323,-149.5650619,"12349 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJT51vNXTryFYRZObY_Tv6LlQ,/biz/petes-barbecue-eagle-river?osq=Restaurants,0.127100894370086,4.1,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Uncle Joe's Pizzeria Downtown,61.21792,-149.8958727,"428 G St, Anchorage, AK 99501, United States",ChIJU5qpMIe9yFYRvZX3Gmx0cNg,/biz/uncle-joes-pizzeria-downtown-anchorage?osq=Restaurants,0.092299751354976,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Taco King,61.2310983,-149.8736453,"848 E Loop Rd, Anchorage, AK 99501, United States",ChIJqa3BVPW9yFYRU0lpLOAULeI,/biz/taco-king-anchorage-2?osq=Restaurants,0.114544428393994,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Boom Ba Laddy's,61.1417158,-149.8630653,"8801 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJAQAAALeXyFYRCXnYCqTlOAM,/biz/boom-ba-laddys-anchorage?osq=Restaurants,0.123739939402246,3.3,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Wingstop,61.1949982,-149.9179611,"1818 W Northern Lights Blvd #105, Anchorage, AK 99517, United States",ChIJM-DCG9-XyFYRqyZqdkNlGpE,/biz/wingstop-anchorage-3?osq=Restaurants,0.068217033368142,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Blaine's Kitchen,61.1796658,-149.8562609,"1436 E Tudor Rd, Anchorage, AK 99507, United States",ChIJIzzLpQWXyFYRPCb8lDgEr6A,/biz/blaines-kitchen-anchorage?osq=Restaurants,0.038249993003196,3.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Black Cup,61.1939497,-149.8783513,"341 E Benson Blvd, Anchorage, AK 99503, United States",ChIJDZLbhciXyFYRH4z_leQ0-wU,/biz/black-cup-anchorage-2?osq=Restaurants,0.078036222152327,4.3,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Sweet Caribou,61.1883046,-149.8965978,"701 W 36th Ave #19, Anchorage, AK 99503, United States",ChIJy_aGscOXyFYRFrH_k3JqUOA,/biz/sweet-caribou-anchorage?osq=Restaurants,0.0671600682760137,4.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Espresso Expressions,61.1861647,-149.8853598,"212 38th Pl, Anchorage, AK 99503, United States",ChIJEbeVjMCXyFYR3NaQk7i_Fyg,/biz/espresso-expressions-anchorage-3?osq=Restaurants,0.0296778754094251,3.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Kava's Pancake House,61.2239794,-149.7346597,"100 Muldoon Rd, Anchorage, AK 99504, United States",ChIJb718vSCUyFYReCZrpl7CBvE,/biz/kavas-pancake-house-anchorage-2?osq=Restaurants,0.0253592335844613,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
L'Aroma Bakery & Deli @ New Sagaya Midtown Market,61.209437,-149.9005079,"900 W 13th Ave, Anchorage, AK 99501, United States",ChIJYRzQbdWXyFYRpNbq2gx_rAM,/biz/l-aroma-bakery-and-deli-new-sagaya-midtown-market-anchorage-3?osq=Restaurants,0.0168790180525104,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Williwaw,61.2163362,-149.8931782,"609 F St, Anchorage, AK 99501, United States",ChIJ4zaFASqWyFYROB07-2doj_k,/biz/williwaw-anchorage-2?osq=Restaurants,0.0472993873028457,2.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Norton Sound Seafood House,61.1734641,-149.9821342,"5000 W International Airport Rd, Anchorage, AK 99502, United States",ChIJBcO49LGiyFYRz9CJiXOrUdE,/biz/norton-sound-seafood-house-anchorage?osq=Restaurants,0.0042221789448078,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Firehouse Subs,61.12707,-149.8852,"345 W 104th Ave #100, Anchorage, AK 99515, United States",ChIJQ4ReeCCZyFYRfqvIYCQ3LWc,/biz/firehouse-subs-anchorage-2?osq=Restaurants,0.0084775626368808,3.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Napoli's Pizza,61.2071716,-149.8076938,"1565 Bragaw St STE 101, Anchorage, AK 99508, United States",ChIJcRi-HlmWyFYR8u_zbe7Qaxo,/biz/napolis-pizza-anchorage?osq=Restaurants,0.0084674018624224,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Anchorage Cider House -Fat Ptarmigan,61.2177071,-149.8911649,"441 W 5th Ave STE 100, Anchorage, AK 99501, United States",ChIJr6ev4CmWyFYRqFSe3dfozv4,/biz/anchorage-cider-house-fat-ptarmigan-anchorage-3?osq=Restaurants,0.0084379111508214,3.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Kincaid Grill,61.1599417,-149.9527306,"6700 Jewel Lake Rd, Anchorage, AK 99502, United States",ChIJt5vPfA-YyFYRc-c1QODBeRA,/biz/kincaid-grill-anchorage?osq=Restaurants,0.18690238525004,4.6,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,0
Sushi On The Fly,61.1755446,-149.9835847,"5000 W International Airport Rd, Anchorage, AK 99502, United States",ChIJnfzlt7OiyFYRHX499dENNR0,/biz/sushi-on-the-fly-anchorage?osq=Restaurants,0.160540587146763,4.0,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,0
Serrano's Mexican Grill,61.1954676,-149.8801407,"201 E Northern Lights Blvd, Anchorage, AK 99503, United States",ChIJH0A8uciXyFYRQvUedUNWEEU,/biz/serranos-mexican-grill-anchorage-3?osq=Restaurants,0.124588065914246,3.8,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,0
Arigato Japanese Restaurant,61.1896443,-149.9077685,"3315 Spenard Rd, Anchorage, AK 99503, United States",ChIJvTm3FN2XyFYRKAzKyVuw8UE,/biz/arigato-japanese-restaurant-anchorage?osq=Restaurants,0.113891961625947,4.0,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,1
Pho Lotus,61.1865267,-149.9174551,"3826 Spenard Rd, Anchorage, AK 99517, United States",ChIJx31Rw0-XyFYR3e4p1-ukiiA,/biz/pho-lotus-anchorage?osq=Restaurants,0.125920176452357,3.9,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,0
Judy's Cafe,61.1152054,-149.864476,"11620 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJb-8TGJeZyFYRTap-omZGIvk,/biz/judys-cafe-anchorage?osq=Restaurants,0.0573244775785283,4.3,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,0
Indigo Tea Lounge,61.192596,-149.8743823,"530 E Benson Blvd #8, Anchorage, AK 99503, United States",ChIJ4cKHzyiWyFYRFknrT2Yllfs,/biz/indigo-tea-lounge-anchorage?osq=Restaurants,0.0466700987738977,4.3,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,1
Everest Restaurant,61.1872406,-149.8678061,"3637 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJb_CoT4uXyFYRo_sQIvnB2yk,/biz/everest-restaurant-anchorage?osq=Restaurants,1.0,4.8,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Moose's Tooth,61.1904987,-149.8687435,"3300 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJ3wBgzrmXyFYRbIyKWCfhB9c,/biz/mooses-tooth-anchorage?osq=Restaurants,0.487931617660117,4.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Jimmy's Asian Food,61.1801927,-149.8934431,"550 W Tudor Rd, Anchorage, AK 99503, United States",ChIJ42dGlZOXyFYRJGMNdDRG5s4,/biz/jimmys-asian-food-anchorage?osq=Restaurants,0.309114336333535,4.2,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Bear Paw Bar & Grill,61.1802451,-149.8852071,"190 W Tudor Rd, Anchorage, AK 99503, United States",ChIJ_8gNNrWXyFYRyENIHTSapfk,/biz/bear-paw-bar-and-grill-anchorage?osq=Restaurants,0.238801439912492,3.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Spenard Roadhouse,61.1954476,-149.9031382,"1049 W Northern Lights Blvd, Anchorage, AK 99503, United States",ChIJFRAGpNuXyFYRudEsUXaA4Ys,/biz/spenard-roadhouse-anchorage?osq=Restaurants,0.25652465852078,4.1,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
