,0,Count
21,[[  47.6430933 -122.3467535]],1
22,[[  47.6270155 -122.3478792]],1
23,[[  47.7354481 -122.2930148]],1
24,"[[  47.6179441 -122.3476806]
 [  47.6132631 -122.3460463]
 [  47.6143105 -122.3464699]
 [  47.6154998 -122.3498465]
 [  47.6144632 -122.346061 ]
 [  47.6176129 -122.3490479]
 [  47.6148746 -122.3464274]
 [  47.6153644 -122.3465503]
 [  47.6147775 -122.3474324]
 [  47.6166669 -122.3465717]
 [  47.6133004 -122.3461008]
 [  47.6142952 -122.3456437]
 [  47.6150913 -122.3477633]
 [  47.6147685 -122.344478 ]
 [  47.6154276 -122.3497142]
 [  47.6134198 -122.3462787]
 [  47.6141611 -122.3461889]
 [  47.6180419 -122.3475534]
 [  47.61581   -122.34568  ]]",19
25,[[  47.6123578 -122.3527254]],1
26,[[  47.6175093 -122.3385542]],1
27,"[[  47.6169993 -122.3431173]
 [  47.616764  -122.3426122]]",2
28,"[[  47.5993515 -122.314785 ]
 [  47.5995007 -122.3153913]
 [  47.5998349 -122.3178232]]",3
29,[[  47.5803213 -122.3128684]],1
30,"[[  47.5991535 -122.2990836]
 [  47.5991549 -122.2992363]
 [  47.5989955 -122.3012374]]",3
31,[[  47.5766264 -122.310007 ]],1
32,[[  47.5835567 -122.302336 ]],1
33,[[  47.641242 -122.320328]],1
34,[[  47.6393916 -122.3255479]],1
35,"[[  47.6243813 -122.3267724]
 [  47.6256354 -122.3267697]
 [  47.6245064 -122.3255826]]",3
36,[[  47.6207509 -122.3256349]],1
37,[[  47.6303784 -122.3915819]],1
38,[[  47.6394341 -122.400599 ]],1
39,"[[  47.59825    -122.3233536 ]
 [  47.5985279  -122.3265099 ]
 [  47.5978459  -122.3260806 ]
 [  47.5985971  -122.3249225 ]
 [  47.597685   -122.3241332 ]
 [  47.5993354  -122.326732  ]
 [  47.5978947  -122.3275345 ]
 [  47.598458   -122.3246879 ]
 [  47.599373   -122.3258157 ]
 [  47.5980376  -122.3239228 ]
 [  47.59980559 -122.32603647]]",11
40,"[[  47.6011218 -122.3339961]
 [  47.5999526 -122.3326483]
 [  47.5988117 -122.3345893]
 [  47.60119   -122.3339979]
 [  47.6019388 -122.3351362]
 [  47.6002244 -122.3313341]
 [  47.6023662 -122.3345875]
 [  47.6023949 -122.3339031]
 [  47.599534  -122.3313399]]",9
41,[[  47.6055078 -122.3312475]],1
42,[[  47.5990399 -122.3205623]],1
43,[[  47.6089267 -122.3267932]],1
44,[[  47.6183712 -122.3039258]],1
45,[[  47.6192619 -122.312858 ]],1
46,"[[  47.6227507 -122.2969042]
 [  47.624027  -122.295116 ]
 [  47.6225848 -122.2973183]
 [  47.623739  -122.2962827]]",4
47,[[  47.6339689 -122.2804238]],1
48,[[  47.6215257 -122.3125332]],1
49,[[  47.6241841 -122.3071577]],1
50,[[  47.7248023 -122.3432746]],1
51,"[[  47.6669209 -122.3826803]
 [  47.6666088 -122.3836962]
 [  47.6669301 -122.3841149]
 [  47.6661008 -122.3824891]]",4
52,"[[  47.6685165 -122.3859421]
 [  47.6695574 -122.3849259]]",2
53,[[  47.663525  -122.3802179]],1
54,[[  47.6627592 -122.3693054]],1
55,"[[  47.6748298 -122.3878118]
 [  47.6756873 -122.3872603]]",2
56,[[  47.660239 -122.365721]],1
57,[[  47.6739237 -122.3764817]],1
58,[[  47.6743338 -122.4066349]],1
59,[[  47.4844166 -122.1985002]],1
60,[[  47.6659134 -122.3741085]],1
61,[[  47.6623684 -122.3132785]],1
62,[[  47.6682472 -122.3128652]],1
63,[[  47.6595395 -122.3133301]],1
64,[[  47.661561  -122.3162103]],1
65,[[  47.6619252 -122.2990801]],1
66,"[[  47.6541207 -122.3443815]
 [  47.6539785 -122.3441822]
 [  47.6532088 -122.3428299]]",3
67,"[[  47.586423 -122.333777]
 [  47.586423 -122.333777]]",2
68,"[[  47.6496691 -122.3424523]
 [  47.6510002 -122.3431121]
 [  47.6506808 -122.3442012]]",3
69,[[  47.6767482 -122.3468104]],1
70,"[[  47.6594856 -122.3496932]
 [  47.6578322 -122.3502598]
 [  47.6590361 -122.3498285]
 [  47.6591431 -122.3502094]]",4
71,"[[  47.6512737 -122.3501248]
 [  47.6515266 -122.350467 ]
 [  47.6514678 -122.3526049]
 [  47.6501225 -122.3496245]
 [  47.649398  -122.347778 ]
 [  47.6506977 -122.3517785]]",6
72,"[[  47.6614859 -122.3320586]
 [  47.6612404 -122.3305777]]",2
73,"[[  47.6612816 -122.3364443]
 [  47.6614987 -122.336979 ]]",2
74,[[  47.6829025 -122.3549734]],1
75,[[  33.8648592 -118.0903904]],1
76,[[  47.668782  -122.3335229]],1
77,[[  47.6564335 -122.362018 ]],1
78,[[  47.6723448 -122.354122 ]],1
79,[[  47.6904655 -122.3555423]],1
80,[[  47.7087551 -122.3256581]],1
81,[[  47.5865452 -122.3764401]],1
82,[[  47.5894362 -122.3805702]],1
83,[[  47.6865638 -122.3177518]],1
84,[[  47.6906376 -122.3231592]],1
85,[[  47.675966 -122.304181]],1
86,"[[  47.6795243 -122.3244031]
 [  47.6800976 -122.3243827]]",2
87,[[  47.6756831 -122.2987877]],1
88,[[  47.6843985 -122.3160677]],1
89,[[  47.6243646 -122.3650067]],1
90,[[  47.7193861 -122.3562072]],1
91,[[  47.6272928 -122.369721 ]],1
92,[[  47.6307475 -122.3740592]],1
93,[[  47.5455139 -122.3259395]],1
94,[[  47.5647721 -122.3866213]],1
95,[[  47.5785424 -122.4111014]],1
96,[[  47.5944202 -122.333444 ]],1
97,[[  47.582849  -122.3267889]],1
98,[[  47.6904269 -122.397965 ]],1
99,[[  47.679633  -122.3744747]],1
100,[[  47.5517052 -122.2782465]],1
101,"[[  47.558118  -122.2855107]
 [  47.5576561 -122.2851166]]",2
102,[[  47.6118892 -122.2012468]],1
